id,label,shape,color,grid
AH30 YC,AH30 YC,circle,green,YANBU CITY
AH31 YC,AH31 YC,circle,green,YANBU CITY
AH32 YC,AH32 YC,circle,green,YANBU CITY
AH33 YC,AH33 YC,circle,green,YANBU CITY
AH34 YC,AH34 YC,circle,green,YANBU CITY
AH35 YC,AH35 YC,circle,green,YANBU CITY
AH39 YC,AH39 YC,circle,green,YANBU CITY
AH40 YC,AH40 YC,circle,green,YANBU CITY
AH41 YC,AH41 YC,circle,green,YANBU CITY
AH42 YC,AH42 YC,circle,green,YANBU CITY
AH45 YC,AH45 YC,circle,green,YANBU CITY
AH46 YC,AH46 YC,circle,green,YANBU CITY
AH47 YC,AH47 YC,circle,green,YANBU CITY
AH48 YC,AH48 YC,circle,green,YANBU CITY
AH49 YC,AH49 YC,circle,green,YANBU CITY
AH50 YC,AH50 YC,circle,green,YANBU CITY
