id,label,shape,color,grid
AH2 YN,AH2 YN,circle,BLUE,YANBU NORTH
AH4 YN,AH4 YN,circle,BLUE,YANBU NORTH
AH5 YN,AH5 YN,circle,BLUE,YANBU NORTH
AH6 YN,AH6 YN,circle,BLUE,YANBU NORTH
AH7 YN,AH7 YN,circle,BLUE,YANBU NORTH
AH9 YN,AH9 YN,circle,BLUE,YANBU NORTH
AH10 YN,AH10 YN,circle,BLUE,YANBU NORTH
AH11 YN,AH11 YN,circle,BLUE,YANBU NORTH
AH12 YN,AH12 YN,circle,BLUE,YANBU NORTH
AH13 YN,AH13 YN,circle,BLUE,YANBU NORTH
AH15 YN,AH15 YN,circle,BLUE,YANBU NORTH
AH16 YN,AH16 YN,circle,BLUE,YANBU NORTH
AH17 YN,AH17 YN,circle,BLUE,YANBU NORTH
AH18 YN,AH18 YN,circle,BLUE,YANBU NORTH
AH19 YN,AH19 YN,circle,BLUE,YANBU NORTH
AH21 YN,AH21 YN,circle,BLUE,YANBU NORTH
AH22 YN,AH22 YN,circle,BLUE,YANBU NORTH
AH23 YN,AH23 YN,circle,BLUE,YANBU NORTH
AH24 YN,AH24 YN,circle,BLUE,YANBU NORTH
AH26 YN,AH26 YN,circle,BLUE,YANBU NORTH
AH29 YN,AH29 YN,circle,BLUE,YANBU NORTH
AH31 YN,AH31 YN,circle,BLUE,YANBU NORTH
AH32 YN,AH32 YN,circle,BLUE,YANBU NORTH
AH33 YN,AH33 YN,circle,BLUE,YANBU NORTH
AH34 YN,AH34 YN,circle,BLUE,YANBU NORTH
AH36 YN,AH36 YN,circle,BLUE,YANBU NORTH
AH37 YN,AH37 YN,circle,BLUE,YANBU NORTH
AH38 YN,AH38 YN,circle,BLUE,YANBU NORTH
AH39 YN,AH39 YN,circle,BLUE,YANBU NORTH
AH4 YN2,AH4 YN2,circle,YELLOW,YANBU NORTH2
AH5 YN2,AH5 YN2,circle,YELLOW,YANBU NORTH2
AH6 YN2,AH6 YN2,circle,YELLOW,YANBU NORTH2
AH7 YN2,AH7 YN2,circle,YELLOW,YANBU NORTH2
AH8 YN2,AH8 YN2,circle,YELLOW,YANBU NORTH2
AH10 YN2,AH10 YN2,circle,YELLOW,YANBU NORTH2
AH11 YN2,AH11 YN2,circle,YELLOW,YANBU NORTH2
AH12 YN2,AH12 YN2,circle,YELLOW,YANBU NORTH2
AH13 YN2,AH13 YN2,circle,YELLOW,YANBU NORTH2
AH14 YN2,AH14 YN2,circle,YELLOW,YANBU NORTH2
AH15 YN2,AH15 YN2,circle,YELLOW,YANBU NORTH2
AH20 YN2,AH20 YN2,circle,YELLOW,YANBU NORTH2
AH21 YN2,AH21 YN2,circle,YELLOW,YANBU NORTH2
AH22 YN2,AH22 YN2,circle,YELLOW,YANBU NORTH2
AH23 YN2,AH23 YN2,circle,YELLOW,YANBU NORTH2
AH24 YN2,AH24 YN2,circle,YELLOW,YANBU NORTH2
AH25 YN2,AH25 YN2,circle,YELLOW,YANBU NORTH2
AH28 YN2,AH28 YN2,circle,YELLOW,YANBU NORTH2
AH29 YN2,AH29 YN2,circle,YELLOW,YANBU NORTH2
AH30 YN2,AH30 YN2,circle,YELLOW,YANBU NORTH2
AH31 YN2,AH31 YN2,circle,YELLOW,YANBU NORTH2
AH32 YN2,AH32 YN2,circle,YELLOW,YANBU NORTH2
AH33 YN2,AH33 YN2,circle,YELLOW,YANBU NORTH2
AH37 YN2,AH37 YN2,circle,YELLOW,YANBU NORTH2
AH38 YN2,AH38 YN2,circle,YELLOW,YANBU NORTH2
AH39 YN2,AH39 YN2,circle,YELLOW,YANBU NORTH2
AH40 YN2,AH40 YN2,circle,YELLOW,YANBU NORTH2
AH41 YN2,AH41 YN2,circle,YELLOW,YANBU NORTH2
AH42 YN2,AH42 YN2,circle,YELLOW,YANBU NORTH2
AH44 YN2,AH44 YN2,circle,YELLOW,YANBU NORTH2
AH45 YN2,AH45 YN2,circle,YELLOW,YANBU NORTH2
AH46 YN2,AH46 YN2,circle,YELLOW,YANBU NORTH2
AH47 YN2,AH47 YN2,circle,YELLOW,YANBU NORTH2
AH48 YN2,AH48 YN2,circle,YELLOW,YANBU NORTH2
AH3 YCNT,AH3 YCNT,circle,gray,YANBU CENTRAL
AH5 YCNT,AH5 YCNT,circle,gray,YANBU CENTRAL
AH6 YCNT,AH6 YCNT,circle,gray,YANBU CENTRAL
AH7 YCNT,AH7 YCNT,circle,gray,YANBU CENTRAL
AH8 YCNT,AH8 YCNT,circle,gray,YANBU CENTRAL
AH11 YCNT,AH11 YCNT,circle,gray,YANBU CENTRAL
AH12 YCNT,AH12 YCNT,circle,gray,YANBU CENTRAL
AH13 YCNT,AH13 YCNT,circle,gray,YANBU CENTRAL
AH14 YCNT,AH14 YCNT,circle,gray,YANBU CENTRAL
AH15 YCNT,AH15 YCNT,circle,gray,YANBU CENTRAL
AH21 YCNT,AH21 YCNT,circle,gray,YANBU CENTRAL
AH22 YCNT,AH22 YCNT,circle,gray,YANBU CENTRAL
AH23 YCNT,AH23 YCNT,circle,gray,YANBU CENTRAL
AH24 YCNT,AH24 YCNT,circle,gray,YANBU CENTRAL
AH25 YCNT,AH25 YCNT,circle,gray,YANBU CENTRAL
AH26 YCNT,AH26 YCNT,circle,gray,YANBU CENTRAL
AH29 YCNT,AH29 YCNT,circle,gray,YANBU CENTRAL
AH30 YCNT,AH30 YCNT,circle,gray,YANBU CENTRAL
AH31 YCNT,AH31 YCNT,circle,gray,YANBU CENTRAL
AH32 YCNT,AH32 YCNT,circle,gray,YANBU CENTRAL
AH33 YCNT,AH33 YCNT,circle,gray,YANBU CENTRAL
AH34 YCNT,AH34 YCNT,circle,gray,YANBU CENTRAL
AH39 YCNT,AH39 YCNT,circle,gray,YANBU CENTRAL
AH40 YCNT,AH40 YCNT,circle,gray,YANBU CENTRAL
AH47 YCNT,AH47 YCNT,circle,gray,YANBU CENTRAL
AH49 YCNT,AH49 YCNT,circle,gray,YANBU CENTRAL
AH50 YCNT,AH50 YCNT,circle,gray,YANBU CENTRAL
AH51 YCNT,AH51 YCNT,circle,gray,YANBU CENTRAL
K1 YE,K1 YE,circle,red,YANBU EAST
K2 YE,K2 YE,circle,red,YANBU EAST
