id,label,shape,color,grid,load
AH34 YCNT,AH34 YCNT,circle,gray,YANBU CENTRAL,99 A
AH39 YCNT,AH39 YCNT,circle,gray,YANBU CENTRAL,100 A
AH40 YCNT,AH40 YCNT,circle,gray,YANBU CENTRAL,101 A
AH47 YCNT,AH47 YCNT,circle,gray,YANBU CENTRAL,102 A
AH49 YCNT,AH49 YCNT,circle,gray,YANBU CENTRAL,103 A
AH50 YCNT,AH50 YCNT,circle,gray,YANBU CENTRAL,104 A
AH51 YCNT,AH51 YCNT,circle,gray,YANBU CENTRAL,105 A
K1 YE,K1 YE,circle,red,YANBU EAST,106 A
K2 YE,K2 YE,circle,red,YANBU EAST,107 A
K3 YE,K3 YE,circle,red,YANBU EAST,108 A
K4 YE,K4 YE,circle,red,YANBU EAST,109 A
K5 YE,K5 YE,circle,red,YANBU EAST,110 A
K7 YE,K7 YE,circle,red,YANBU EAST,111 A
K9 YE,K9 YE,circle,red,YANBU EAST,112 A
K10 YE,K10 YE,circle,red,YANBU EAST,113 A
K11 YE,K11 YE,circle,red,YANBU EAST,114 A
K12 YE,K12 YE,circle,red,YANBU EAST,115 A
K13 YE,K13 YE,circle,red,YANBU EAST,116 A
K14 YE,K14 YE,circle,red,YANBU EAST,117 A
K15 YE,K15 YE,circle,red,YANBU EAST,118 A
K16 YE,K16 YE,circle,red,YANBU EAST,119 A
K17 YE,K17 YE,circle,red,YANBU EAST,120 A
K21 YE,K21 YE,circle,red,YANBU EAST,121 A
K22 YE,K22 YE,circle,red,YANBU EAST,122 A
K23 YE,K23 YE,circle,red,YANBU EAST,123 A
K24 YE,K24 YE,circle,red,YANBU EAST,124 A
K27 YE,K27 YE,circle,red,YANBU EAST,125 A
K31 YE,K31 YE,circle,red,YANBU EAST,126 A
K32 YE,K32 YE,circle,red,YANBU EAST,127 A
K33 YE,K33 YE,circle,red,YANBU EAST,128 A
K34 YE,K34 YE,circle,red,YANBU EAST,129 A
K35 YE,K35 YE,circle,red,YANBU EAST,130 A
K37 YE,K37 YE,circle,red,YANBU EAST,131 A
K38 YE,K38 YE,circle,red,YANBU EAST,132 A
K39 YE,K39 YE,circle,red,YANBU EAST,133 A
K40 YE,K40 YE,circle,red,YANBU EAST,134 A
K41 YE,K41 YE,circle,red,YANBU EAST,135 A
AH4 YC,AH4 YC,circle,green,YANBU CITY,136 A
AH5 YC,AH5 YC,circle,green,YANBU CITY,137 A
AH6 YC,AH6 YC,circle,green,YANBU CITY,138 A
AH7 YC,AH7 YC,circle,green,YANBU CITY,139 A
AH8 YC,AH8 YC,circle,green,YANBU CITY,140 A
AH9 YC,AH9 YC,circle,green,YANBU CITY,141 A
AH11 YC,AH11 YC,circle,green,YANBU CITY,142 A
AH12 YC,AH12 YC,circle,green,YANBU CITY,143 A
AH13 YC,AH13 YC,circle,green,YANBU CITY,144 A
AH14 YC,AH14 YC,circle,green,YANBU CITY,145 A
AH15 YC,AH15 YC,circle,green,YANBU CITY,146 A
AH21 YC,AH21 YC,circle,green,YANBU CITY,147 A
AH22 YC,AH22 YC,circle,green,YANBU CITY,148 A
AH23 YC,AH23 YC,circle,green,YANBU CITY,149 A
AH24 YC,AH24 YC,circle,green,YANBU CITY,150 A
AH26 YC,AH26 YC,circle,green,YANBU CITY,151 A
AH29 YC,AH29 YC,circle,green,YANBU CITY,152 A
AH30 YC,AH30 YC,circle,green,YANBU CITY,153 A
AH31 YC,AH31 YC,circle,green,YANBU CITY,154 A
AH32 YC,AH32 YC,circle,green,YANBU CITY,155 A
AH33 YC,AH33 YC,circle,green,YANBU CITY,156 A
AH34 YC,AH34 YC,circle,green,YANBU CITY,157 A
AH35 YC,AH35 YC,circle,green,YANBU CITY,158 A
AH39 YC,AH39 YC,circle,green,YANBU CITY,159 A
AH40 YC,AH40 YC,circle,green,YANBU CITY,160 A
AH41 YC,AH41 YC,circle,green,YANBU CITY,161 A
AH42 YC,AH42 YC,circle,green,YANBU CITY,162 A
AH43 YC,AH43 YC,circle,green,YANBU CITY,163 A
AH45 YC,AH45 YC,circle,green,YANBU CITY,164 A
AH46 YC,AH46 YC,circle,green,YANBU CITY,165 A
AH47 YC,AH47 YC,circle,green,YANBU CITY,166 A
AH48 YC,AH48 YC,circle,green,YANBU CITY,167 A
AH49 YC,AH49 YC,circle,green,YANBU CITY,168 A
AH50 YC,AH50 YC,circle,green,YANBU CITY,169 A
